name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
Punjabi Dhaba - Whitefield,No,Yes,3.8/5,3016,MG Road,Desserts,Italian,150,Desserts,MG Road
KFC - MG Road,Yes,No,4.6/5,1532,MG Road,Pub,Cafe Food,400,Pub,MG Road
Dindigul Thalappakatti - Shivajinagar,Yes,No,3.6/5,2953,Jayanagar,Café,Beverages,300,Café,Jayanagar
Empire Restaurant - Banashankari,No,No,3.6/5,1833,Malleshwaram,Pub,Mughlai,800,Pub,Malleshwaram
Punjabi Dhaba - Marathahalli,Yes,Yes,3.8/5,2407,Koramangala,Desserts,Chinese,200,Desserts,Koramangala
Wow Momo - Yelahanka,No,No,4.3/5,3305,Hebbal,Beverage Shop,Beverages,50,Beverage Shop,Hebbal
McDonald's - BTM,Yes,No,4.5/5,4741,Hebbal,Bakery,Biryani,250,Bakery,Hebbal
New Krishna Bhavan - Rajajinagar,Yes,No,4.1/5,1356,Indiranagar,Pub,Beverages,500,Pub,Indiranagar
Truffles - Indiranagar,No,No,4.3/5,2253,KR Puram,Bar,Continental,650,Bar,KR Puram
Dindigul Thalappakatti - Sarjapur Road,No,Yes,3.8/5,3997,Malleshwaram,Café,Bengali,250,Café,Malleshwaram
Smoke House Deli - MG Road,Yes,Yes,3.8/5,2136,Yelahanka,Beverage Shop,Rolls,150,Beverage Shop,Yelahanka
Toit - Marathahalli,Yes,No,4.4/5,935,Rajajinagar,Lounge,Italian,350,Lounge,Rajajinagar
Starbucks - Koramangala,Yes,No,4.1/5,1122,MG Road,Casual Dining,Italian,400,Casual Dining,MG Road
Kanti Sweets - Shivajinagar,Yes,Yes,3.5/5,1509,Rajajinagar,Fine Dining,Desserts,700,Fine Dining,Rajajinagar
Dindigul Thalappakatti - Sarjapur Road,No,No,4.2/5,710,Malleshwaram,Sweet Shop,Andhra,100,Sweet Shop,Malleshwaram
Shivaji Military Hotel - Marathahalli,No,No,NEW,0,HSR Layout,Mess,Fast Food,100,Mess,HSR Layout
Natural Ice Cream - BTM,Yes,No,3.7/5,54,Hebbal,Beverage Shop,Desserts,150,Beverage Shop,Hebbal
Vasudev Adiga's - MG Road,Yes,Yes,4.3/5,1640,JP Nagar,Bar,Beverages,550,Bar,JP Nagar
Burger King - Yelahanka,Yes,No,NEW,0,Hebbal,Desserts,Fast Food,100,Desserts,Hebbal
Social - Banashankari,No,No,3.9/5,3175,KR Puram,Desserts,Pizza,200,Desserts,KR Puram
Third Wave Coffee - Basavanagudi,Yes,No,4.2/5,1756,Indiranagar,Casual Dining,Mughlai,100,Casual Dining,Indiranagar
Toit - Basavanagudi,Yes,No,3.5/5,775,Yelahanka,Bar,Street Food,550,Bar,Yelahanka
Third Wave Coffee - Indiranagar,Yes,Yes,4.0/5,355,Electronic City,Quick Bites,Street Food,200,Quick Bites,Electronic City
Social - Indiranagar,Yes,No,4.5/5,3450,Indiranagar,Delivery,Fast Food,400,Delivery,Indiranagar
Absolute Barbecues - Indiranagar,Yes,No,3.4/5,2742,Sarjapur Road,Delivery,Italian,200,Delivery,Sarjapur Road
Absolute Barbecues - Banashankari,Yes,No,4.1/5,563,Yelahanka,Pub,Rolls,950,Pub,Yelahanka
Wow Momo - BTM,No,No,3.3/5,2394,Sarjapur Road,Café,Gujarati,400,Café,Sarjapur Road
Barbeque Nation - BTM,No,No,4.2/5,2892,Shivajinagar,Food Court,Burgers,300,Food Court,Shivajinagar
Hotel Suprabhatha - Yelahanka,No,No,4.2/5,1526,Basavanagudi,Food Court,Gujarati,300,Food Court,Basavanagudi
Third Wave Coffee - Indiranagar,Yes,No,3.7/5,4120,Koramangala,Food Court,Biryani,200,Food Court,Koramangala
Corner House - Electronic City,Yes,Yes,NEW,0,Koramangala,Quick Bites,Rajasthani,150,Quick Bites,Koramangala
Dindigul Thalappakatti - HSR Layout,Yes,Yes,4.4/5,2376,HSR Layout,Fine Dining,Cafe Food,850,Fine Dining,HSR Layout
Vasudev Adiga's - Koramangala,Yes,No,4.2/5,1561,Malleshwaram,Quick Bites,Pizza,150,Quick Bites,Malleshwaram
Rajadhani - Electronic City,No,No,NEW,0,Bellandur,Quick Bites,Beverages,250,Quick Bites,Bellandur
Absolute Barbecues - MG Road,Yes,No,NEW,0,Marathahalli,Bakery,South Indian,300,Bakery,Marathahalli
The Fatty Bao - Basavanagudi,Yes,No,3.4/5,4437,Basavanagudi,Casual Dining,Biryani,450,Casual Dining,Basavanagudi
Punjabi Dhaba - Rajajinagar,No,No,3.8/5,2944,Whitefield,Dhaba,Chinese,250,Dhaba,Whitefield
Vidyarthi Bhavan - Jayanagar,No,No,3.9/5,3991,BTM,Quick Bites,Continental,250,Quick Bites,BTM
Kanti Sweets - Jayanagar,Yes,No,3.6/5,541,Sarjapur Road,Café,South Indian,300,Café,Sarjapur Road
Absolute Barbecues - Electronic City,Yes,No,4.1/5,2573,Electronic City,Food Court,Fast Food,200,Food Court,Electronic City
Cream Stone - Malleshwaram,Yes,No,NEW,0,Banashankari,Fine Dining,Burgers,1350,Fine Dining,Banashankari
Cream Stone - Indiranagar,Yes,No,3.6/5,3589,Koramangala,Desserts,Cafe Food,250,Desserts,Koramangala
Domino's Pizza - Yelahanka,Yes,No,3.8/5,1746,Malleshwaram,Bakery,Rolls,300,Bakery,Malleshwaram
Wow Momo - Yelahanka,Yes,No,3.4/5,1172,KR Puram,Mess,Rolls,50,Mess,KR Puram
Brahmin's Coffee Bar - Sarjapur Road,No,No,2.8/5,1299,Hebbal,Casual Dining,Gujarati,750,Casual Dining,Hebbal
Starbucks - Marathahalli,Yes,No,4.2/5,3732,BTM,Café,South Indian,250,Café,BTM
MTR - Basavanagudi,Yes,Yes,3.8/5,3267,Electronic City,Quick Bites,Street Food,200,Quick Bites,Electronic City
Rajadhani - HSR Layout,Yes,No,3.9/5,4504,JP Nagar,Café,Pizza,300,Café,JP Nagar
KFC - Basavanagudi,Yes,No,3.4/5,4978,Yelahanka,Mess,Bengali,50,Mess,Yelahanka
Hotel Suprabhatha - Rajajinagar,No,No,3.6/5,70,Rajajinagar,Café,Rajasthani,350,Café,Rajajinagar
Brahmin's Coffee Bar - Electronic City,Yes,No,NEW,0,Rajajinagar,Dhaba,Andhra,250,Dhaba,Rajajinagar
Hotel Suprabhatha - Banashankari,Yes,No,3.9/5,4640,Koramangala,Dhaba,Rajasthani,100,Dhaba,Koramangala
Pizza Hut - KR Puram,Yes,No,3.9/5,4914,Banashankari,Mess,Italian,150,Mess,Banashankari
Kanti Sweets - Indiranagar,No,No,3.8/5,601,Koramangala,Pub,Kerala,450,Pub,Koramangala
Pizza Hut - Jayanagar,Yes,No,3.2/5,1488,JP Nagar,Quick Bites,Pizza,150,Quick Bites,JP Nagar
Cream Stone - Jayanagar,No,No,NEW,0,JP Nagar,Casual Dining,Desserts,300,Casual Dining,JP Nagar
Third Wave Coffee - MG Road,Yes,No,3.2/5,4980,Malleshwaram,Dhaba,Beverages,250,Dhaba,Malleshwaram
MTR - Whitefield,Yes,No,3.4/5,2894,MG Road,Sweet Shop,Bengali,250,Sweet Shop,MG Road
McDonald's - Marathahalli,Yes,No,3.3/5,1811,Rajajinagar,Fine Dining,Burgers,450,Fine Dining,Rajajinagar
Blue Tokai - HSR Layout,No,No,3.6/5,1772,Basavanagudi,Bakery,Burgers,200,Bakery,Basavanagudi
Third Wave Coffee - Basavanagudi,No,No,3.5/5,0,Sarjapur Road,Desserts,Gujarati,150,Desserts,Sarjapur Road
Punjabi Dhaba - Yelahanka,Yes,No,3.8/5,4644,JP Nagar,Bakery,Chinese,300,Bakery,JP Nagar
Subway - Hebbal,Yes,No,3.4/5,2181,Jayanagar,Desserts,Biryani,150,Desserts,Jayanagar
Wow Momo - Koramangala,Yes,No,4.4/5,3323,BTM,Casual Dining,Rajasthani,400,Casual Dining,BTM
Punjabi Dhaba - Whitefield,Yes,No,4.3/5,4964,Hebbal,Bar,Rajasthani,550,Bar,Hebbal
Natural Ice Cream - Yelahanka,Yes,No,3.8/5,2777,Bellandur,Desserts,South Indian,150,Desserts,Bellandur
Meghana Foods - Marathahalli,No,Yes,3.5/5,4616,Malleshwaram,Food Court,Rolls,450,Food Court,Malleshwaram
Shivaji Military Hotel - Bellandur,No,No,3.4/5,908,Jayanagar,Fine Dining,Beverages,600,Fine Dining,Jayanagar
Chutney's - Banashankari,Yes,Yes,3.7/5,1922,BTM,Beverage Shop,Fast Food,150,Beverage Shop,BTM
Byg Brewski - Marathahalli,Yes,No,3.1/5,1986,Hebbal,Café,Rajasthani,350,Café,Hebbal
Brahmin's Coffee Bar - Electronic City,No,No,3.2/5,4042,Bellandur,Mess,Fast Food,100,Mess,Bellandur
Barbeque Nation - Malleshwaram,No,No,4.1/5,1837,Whitefield,Lounge,Biryani,600,Lounge,Whitefield
KFC - Marathahalli,Yes,No,4.0/5,3641,KR Puram,Dhaba,Beverages,250,Dhaba,KR Puram
Empire Restaurant - Malleshwaram,Yes,No,4.7/5,500,HSR Layout,Casual Dining,Continental,500,Casual Dining,HSR Layout
Baskin-Robbins - Malleshwaram,Yes,No,3.7/5,1822,Marathahalli,Quick Bites,Rajasthani,300,Quick Bites,Marathahalli
Wow Momo - Basavanagudi,Yes,Yes,3.7/5,1331,Marathahalli,Lounge,Rolls,650,Lounge,Marathahalli
Café Coffee Day - Hebbal,Yes,Yes,3.6/5,4346,Rajajinagar,Sweet Shop,Gujarati,150,Sweet Shop,Rajajinagar
Blue Tokai - JP Nagar,Yes,No,3.7/5,2952,Rajajinagar,Desserts,Continental,150,Desserts,Rajajinagar
Cream Stone - Yelahanka,Yes,Yes,3.5/5,1626,Bellandur,Bar,Italian,900,Bar,Bellandur
Keventers - Banashankari,Yes,No,4.0/5,1227,Basavanagudi,Bar,Beverages,650,Bar,Basavanagudi
Blue Tokai - Hebbal,Yes,No,3.9/5,2055,MG Road,Café,Chinese,200,Café,MG Road
Vasudev Adiga's - Koramangala,Yes,No,NEW,0,Indiranagar,Lounge,Desserts,550,Lounge,Indiranagar
Vidyarthi Bhavan - Sarjapur Road,No,Yes,4.3/5,1877,Shivajinagar,Fine Dining,Pizza,450,Fine Dining,Shivajinagar
Byg Brewski - Rajajinagar,No,No,4.6/5,4061,BTM,Bakery,Chinese,250,Bakery,BTM
Café Coffee Day - MG Road,Yes,Yes,4.4/5,2864,Sarjapur Road,Mess,Chinese,100,Mess,Sarjapur Road
Subway - Hebbal,Yes,No,4.1/5,2570,Malleshwaram,Dhaba,Street Food,300,Dhaba,Malleshwaram
Wow Momo - BTM,No,Yes,4.1/5,1396,Sarjapur Road,Quick Bites,Pizza,300,Quick Bites,Sarjapur Road
Barbeque Nation - Sarjapur Road,Yes,No,4.8/5,4481,Sarjapur Road,Pub,Pizza,650,Pub,Sarjapur Road
Barbeque Nation - Electronic City,Yes,Yes,4.2/5,4278,Rajajinagar,Casual Dining,South Indian,300,Casual Dining,Rajajinagar
Keventers - Sarjapur Road,Yes,Yes,3.6/5,2969,Banashankari,Bakery,Mughlai,300,Bakery,Banashankari
Dindigul Thalappakatti - Basavanagudi,Yes,No,4.0/5,3589,Jayanagar,Café,Italian,100,Café,Jayanagar
The Fatty Bao - HSR Layout,Yes,Yes,4.2/5,1891,Sarjapur Road,Bar,Rajasthani,450,Bar,Sarjapur Road
Chutney's - Koramangala,No,No,3.2/5,1273,Banashankari,Mess,Chinese,100,Mess,Banashankari
Toit - Electronic City,Yes,Yes,3.7/5,2245,Shivajinagar,Mess,South Indian,150,Mess,Shivajinagar
Smoke House Deli - Yelahanka,Yes,No,4.4/5,3710,Koramangala,Beverage Shop,North Indian,250,Beverage Shop,Koramangala
Third Wave Coffee - Hebbal,No,No,2.8/5,36,Hebbal,Fine Dining,Cafe Food,750,Fine Dining,Hebbal
Barbeque Nation - Malleshwaram,Yes,No,3.2/5,2940,Bellandur,Desserts,Cafe Food,300,Desserts,Bellandur
Meghana Foods - HSR Layout,Yes,No,3.8/5,420,Jayanagar,Desserts,Burgers,150,Desserts,Jayanagar
Dindigul Thalappakatti - Marathahalli,Yes,No,NEW,0,Basavanagudi,Café,Mughlai,250,Café,Basavanagudi
Vasudev Adiga's - Electronic City,Yes,Yes,NEW,0,Rajajinagar,Lounge,Cafe Food,750,Lounge,Rajajinagar
Toit - Marathahalli,Yes,Yes,3.8/5,4839,Jayanagar,Quick Bites,Burgers,300,Quick Bites,Jayanagar
Corner House - Jayanagar,Yes,No,4.4/5,3808,Electronic City,Delivery,Mughlai,350,Delivery,Electronic City
Café Coffee Day - Indiranagar,Yes,No,3.9/5,2419,Marathahalli,Lounge,Cafe Food,900,Lounge,Marathahalli
Corner House - HSR Layout,No,No,4.2/5,2280,Sarjapur Road,Dhaba,Desserts,250,Dhaba,Sarjapur Road
Burger King - Yelahanka,Yes,No,3.6/5,2334,Shivajinagar,Bar,Cafe Food,800,Bar,Shivajinagar
Meghana Foods - Bellandur,Yes,No,3.4/5,737,Sarjapur Road,Quick Bites,Burgers,200,Quick Bites,Sarjapur Road
Barbeque Nation - Yelahanka,Yes,Yes,4.3/5,1418,Bellandur,Fine Dining,Pizza,900,Fine Dining,Bellandur
Byg Brewski - Bellandur,Yes,No,4.0/5,4547,Hebbal,Food Court,Gujarati,600,Food Court,Hebbal
Burger King - Hebbal,Yes,No,3.3/5,2041,BTM,Sweet Shop,Street Food,250,Sweet Shop,BTM
Hotel Suprabhatha - Bellandur,No,No,3.3/5,1785,Banashankari,Pub,Gujarati,650,Pub,Banashankari
Rajadhani - Malleshwaram,Yes,No,4.6/5,1062,Banashankari,Bakery,Chinese,300,Bakery,Banashankari
Corner House - Whitefield,Yes,No,3.4/5,3568,BTM,Desserts,Cafe Food,100,Desserts,BTM
Rajadhani - HSR Layout,No,No,NEW,0,Electronic City,Dhaba,Biryani,150,Dhaba,Electronic City
Punjabi Dhaba - HSR Layout,Yes,No,3.6/5,2596,Basavanagudi,Food Court,Pizza,300,Food Court,Basavanagudi
New Krishna Bhavan - Banashankari,Yes,Yes,3.8/5,1002,HSR Layout,Sweet Shop,North Indian,150,Sweet Shop,HSR Layout
Sri Sairam Vegetarian - Rajajinagar,No,Yes,3.8/5,2523,HSR Layout,Pub,South Indian,1000,Pub,HSR Layout
Keventers - Hebbal,No,No,2.6/5,4500,Whitefield,Delivery,Beverages,300,Delivery,Whitefield
KFC - Indiranagar,No,No,3.0/5,1418,Malleshwaram,Delivery,Biryani,300,Delivery,Malleshwaram
Brahmin's Coffee Bar - Bellandur,Yes,Yes,3.9/5,4676,Koramangala,Quick Bites,Pizza,200,Quick Bites,Koramangala
Wow Momo - BTM,Yes,No,3.5/5,3201,MG Road,Beverage Shop,Beverages,100,Beverage Shop,MG Road
Vidyarthi Bhavan - Shivajinagar,No,No,4.2/5,626,KR Puram,Bakery,Mughlai,250,Bakery,KR Puram
Absolute Barbecues - JP Nagar,Yes,Yes,3.0/5,1821,Rajajinagar,Food Court,Kerala,250,Food Court,Rajajinagar
Nandhini Hotel - Yelahanka,Yes,No,4.1/5,4436,Indiranagar,Fine Dining,Rolls,500,Fine Dining,Indiranagar
Chutney's - Sarjapur Road,No,No,3.0/5,4307,KR Puram,Café,Italian,400,Café,KR Puram
Meghana Foods - Shivajinagar,Yes,No,3.7/5,2961,Hebbal,Sweet Shop,Pizza,200,Sweet Shop,Hebbal
Keventers - Hebbal,No,No,3.2/5,1646,Malleshwaram,Delivery,Beverages,50,Delivery,Malleshwaram
The Only Place - JP Nagar,Yes,No,4.8/5,1999,BTM,Dhaba,Kerala,200,Dhaba,BTM
The Fatty Bao - Bellandur,Yes,No,3.2/5,2635,Rajajinagar,Food Court,South Indian,300,Food Court,Rajajinagar
Dindigul Thalappakatti - Koramangala,Yes,Yes,NEW,0,Hebbal,Delivery,Kerala,300,Delivery,Hebbal
Hotel Suprabhatha - Electronic City,No,No,2.8/5,3159,Jayanagar,Bar,Beverages,600,Bar,Jayanagar
Café Coffee Day - Indiranagar,Yes,No,4.6/5,1009,Marathahalli,Food Court,Andhra,250,Food Court,Marathahalli
Chutney's - Hebbal,Yes,No,NEW,0,Koramangala,Dhaba,Italian,250,Dhaba,Koramangala
Absolute Barbecues - Rajajinagar,No,Yes,3.8/5,4150,Indiranagar,Mess,Bengali,50,Mess,Indiranagar
Smoke House Deli - Electronic City,No,Yes,4.4/5,2812,Hebbal,Quick Bites,Fast Food,250,Quick Bites,Hebbal
Vasudev Adiga's - Hebbal,No,No,3.8/5,3740,Marathahalli,Bar,South Indian,850,Bar,Marathahalli
Blue Tokai - Koramangala,Yes,No,4.0/5,4976,Basavanagudi,Quick Bites,Rajasthani,50,Quick Bites,Basavanagudi
Cream Stone - Rajajinagar,Yes,No,3.9/5,4038,BTM,Pub,Burgers,500,Pub,BTM
Absolute Barbecues - Marathahalli,No,No,4.0/5,3834,Bellandur,Casual Dining,Burgers,450,Casual Dining,Bellandur
New Krishna Bhavan - Sarjapur Road,Yes,No,3.6/5,1799,Jayanagar,Lounge,Andhra,700,Lounge,Jayanagar
Byg Brewski - Malleshwaram,Yes,No,3.7/5,2884,Basavanagudi,Desserts,Continental,300,Desserts,Basavanagudi
Toit - Yelahanka,Yes,No,4.3/5,1322,Basavanagudi,Bakery,Burgers,350,Bakery,Basavanagudi
Byg Brewski - Hebbal,No,No,3.8/5,2609,Marathahalli,Fine Dining,South Indian,1100,Fine Dining,Marathahalli
Meghana Foods - Marathahalli,Yes,No,3.8/5,724,Sarjapur Road,Beverage Shop,North Indian,50,Beverage Shop,Sarjapur Road
Punjabi Dhaba - HSR Layout,No,Yes,3.0/5,2411,Shivajinagar,Café,South Indian,300,Café,Shivajinagar
Subway - Sarjapur Road,Yes,Yes,4.6/5,1315,Indiranagar,Delivery,Gujarati,300,Delivery,Indiranagar
Rajadhani - Malleshwaram,Yes,No,3.5/5,1412,Basavanagudi,Café,South Indian,300,Café,Basavanagudi
Meghana Foods - Bellandur,Yes,No,4.3/5,4848,KR Puram,Bar,South Indian,550,Bar,KR Puram
New Krishna Bhavan - Rajajinagar,Yes,No,3.9/5,3542,Marathahalli,Fine Dining,Street Food,1150,Fine Dining,Marathahalli
Truffles - Electronic City,Yes,No,3.2/5,1554,Bellandur,Casual Dining,Burgers,450,Casual Dining,Bellandur
Café Coffee Day - MG Road,Yes,No,4.5/5,425,Whitefield,Desserts,Biryani,200,Desserts,Whitefield
Natural Ice Cream - Whitefield,Yes,No,4.0/5,3949,KR Puram,Dhaba,Italian,100,Dhaba,KR Puram
Keventers - Malleshwaram,No,No,4.4/5,4494,HSR Layout,Mess,Kerala,150,Mess,HSR Layout
Pizza Hut - Yelahanka,No,Yes,3.6/5,303,Rajajinagar,Food Court,Street Food,350,Food Court,Rajajinagar
Blue Tokai - Banashankari,No,No,4.1/5,103,Banashankari,Bakery,Bengali,200,Bakery,Banashankari
KFC - Yelahanka,Yes,No,3.0/5,363,Jayanagar,Food Court,Beverages,400,Food Court,Jayanagar
Social - Marathahalli,Yes,No,3.6/5,4662,JP Nagar,Dhaba,Italian,50,Dhaba,JP Nagar
Café Coffee Day - KR Puram,Yes,No,NEW,0,Malleshwaram,Casual Dining,Desserts,650,Casual Dining,Malleshwaram
Rajadhani - Indiranagar,No,Yes,3.5/5,2723,Indiranagar,Beverage Shop,Mughlai,200,Beverage Shop,Indiranagar
Smoke House Deli - BTM,No,No,NEW,0,Malleshwaram,Mess,Continental,200,Mess,Malleshwaram
Chutney's - Basavanagudi,No,No,3.4/5,1108,BTM,Fine Dining,Andhra,1000,Fine Dining,BTM
Cream Stone - Jayanagar,Yes,No,4.3/5,2415,KR Puram,Quick Bites,Street Food,200,Quick Bites,KR Puram
Pizza Hut - Shivajinagar,Yes,No,3.4/5,1897,Rajajinagar,Casual Dining,Fast Food,300,Casual Dining,Rajajinagar
Third Wave Coffee - Rajajinagar,Yes,No,4.3/5,4820,Electronic City,Bakery,Bengali,200,Bakery,Electronic City
Truffles - Malleshwaram,Yes,No,4.5/5,714,Shivajinagar,Quick Bites,Pizza,100,Quick Bites,Shivajinagar
Sri Sairam Vegetarian - Koramangala,Yes,Yes,4.4/5,2872,MG Road,Dhaba,Andhra,350,Dhaba,MG Road
Social - Bellandur,No,No,3.5/5,1202,Marathahalli,Casual Dining,Desserts,400,Casual Dining,Marathahalli
Third Wave Coffee - Yelahanka,Yes,No,2.8/5,91,Hebbal,Beverage Shop,Beverages,200,Beverage Shop,Hebbal
Truffles - Shivajinagar,Yes,No,4.1/5,1523,Basavanagudi,Bar,North Indian,800,Bar,Basavanagudi
Nandhini Hotel - MG Road,Yes,No,3.8/5,4719,Electronic City,Fine Dining,Rolls,750,Fine Dining,Electronic City
Café Coffee Day - Banashankari,No,No,3.2/5,3979,Marathahalli,Beverage Shop,Desserts,100,Beverage Shop,Marathahalli
Sri Sairam Vegetarian - BTM,Yes,No,3.6/5,168,BTM,Lounge,Cafe Food,550,Lounge,BTM
KFC - MG Road,No,Yes,4.4/5,1319,Jayanagar,Fine Dining,Street Food,350,Fine Dining,Jayanagar
Absolute Barbecues - Electronic City,No,No,3.1/5,2240,Basavanagudi,Mess,Burgers,50,Mess,Basavanagudi
Brahmin's Coffee Bar - Rajajinagar,Yes,Yes,4.1/5,869,KR Puram,Café,Rolls,350,Café,KR Puram
Empire Restaurant - Malleshwaram,Yes,Yes,4.0/5,2766,JP Nagar,Quick Bites,Pizza,300,Quick Bites,JP Nagar
Punjabi Dhaba - Electronic City,Yes,No,3.7/5,3357,Indiranagar,Beverage Shop,Desserts,150,Beverage Shop,Indiranagar
Natural Ice Cream - Koramangala,Yes,Yes,4.2/5,3287,JP Nagar,Café,Mughlai,400,Café,JP Nagar
Keventers - Whitefield,No,No,4.5/5,974,Banashankari,Bakery,Continental,300,Bakery,Banashankari
Brahmin's Coffee Bar - Koramangala,No,No,3.6/5,4456,Electronic City,Casual Dining,Street Food,350,Casual Dining,Electronic City
KFC - Hebbal,Yes,No,3.7/5,4138,Shivajinagar,Beverage Shop,Kerala,200,Beverage Shop,Shivajinagar
Corner House - Marathahalli,Yes,No,4.2/5,2228,BTM,Café,Desserts,300,Café,BTM
Toit - KR Puram,Yes,No,4.3/5,2558,Whitefield,Quick Bites,Chinese,150,Quick Bites,Whitefield
Byg Brewski - HSR Layout,Yes,No,NEW,0,Electronic City,Casual Dining,Italian,400,Casual Dining,Electronic City
Smoke House Deli - Bellandur,Yes,No,3.7/5,2333,Yelahanka,Lounge,Desserts,400,Lounge,Yelahanka
Café Coffee Day - MG Road,Yes,Yes,2.7/5,1320,Basavanagudi,Food Court,Street Food,300,Food Court,Basavanagudi
Brahmin's Coffee Bar - Malleshwaram,Yes,No,3.5/5,1579,Shivajinagar,Café,Burgers,50,Café,Shivajinagar
Baskin-Robbins - JP Nagar,No,No,3.1/5,1908,Rajajinagar,Food Court,Italian,350,Food Court,Rajajinagar
McDonald's - Basavanagudi,Yes,No,4.2/5,1784,Malleshwaram,Dhaba,Fast Food,100,Dhaba,Malleshwaram
Third Wave Coffee - Koramangala,Yes,No,3.7/5,1915,BTM,Dhaba,Beverages,200,Dhaba,BTM
The Only Place - Banashankari,Yes,No,3.7/5,2980,Hebbal,Bakery,Italian,350,Bakery,Hebbal
Nandhini Hotel - Koramangala,No,No,3.7/5,256,Shivajinagar,Café,Bengali,300,Café,Shivajinagar
Smoke House Deli - Shivajinagar,Yes,No,3.4/5,1240,Marathahalli,Delivery,Burgers,50,Delivery,Marathahalli
Natural Ice Cream - Whitefield,Yes,No,NEW,0,Indiranagar,Delivery,Italian,250,Delivery,Indiranagar
Rajadhani - Sarjapur Road,Yes,No,4.5/5,749,Shivajinagar,Dhaba,Chinese,200,Dhaba,Shivajinagar
Toit - Banashankari,No,No,4.5/5,3322,Banashankari,Café,Kerala,400,Café,Banashankari
Natural Ice Cream - Electronic City,Yes,Yes,4.2/5,3286,KR Puram,Beverage Shop,Continental,150,Beverage Shop,KR Puram
Café Coffee Day - Hebbal,No,No,3.7/5,4752,Malleshwaram,Fine Dining,Fast Food,1150,Fine Dining,Malleshwaram
Empire Restaurant - Marathahalli,No,No,4.5/5,733,Jayanagar,Lounge,Bengali,800,Lounge,Jayanagar
Cream Stone - Indiranagar,No,Yes,3.4/5,2386,BTM,Quick Bites,Mughlai,250,Quick Bites,BTM
Café Coffee Day - Whitefield,Yes,No,3.4/5,4323,Yelahanka,Lounge,Gujarati,700,Lounge,Yelahanka
Dindigul Thalappakatti - Basavanagudi,Yes,No,3.5/5,1259,MG Road,Desserts,Mughlai,300,Desserts,MG Road
Cream Stone - Electronic City,Yes,No,4.1/5,2413,Shivajinagar,Beverage Shop,Continental,100,Beverage Shop,Shivajinagar
Baskin-Robbins - Sarjapur Road,No,Yes,3.3/5,2905,Sarjapur Road,Mess,Gujarati,50,Mess,Sarjapur Road
KFC - JP Nagar,Yes,No,3.8/5,2496,Marathahalli,Lounge,Continental,500,Lounge,Marathahalli
Truffles - Yelahanka,Yes,No,3.0/5,2554,MG Road,Delivery,Gujarati,250,Delivery,MG Road
Subway - Bellandur,No,No,3.9/5,3704,JP Nagar,Pub,Street Food,700,Pub,JP Nagar
Hotel Suprabhatha - Rajajinagar,Yes,No,3.1/5,2109,KR Puram,Fine Dining,Italian,850,Fine Dining,KR Puram
Kanti Sweets - Marathahalli,Yes,No,NEW,0,Sarjapur Road,Beverage Shop,Street Food,200,Beverage Shop,Sarjapur Road
Kanti Sweets - Sarjapur Road,Yes,No,4.5/5,4282,MG Road,Bakery,North Indian,250,Bakery,MG Road
MTR - Shivajinagar,Yes,No,4.4/5,1528,JP Nagar,Food Court,South Indian,350,Food Court,JP Nagar
New Krishna Bhavan - Marathahalli,No,Yes,3.9/5,850,Koramangala,Café,Rolls,400,Café,Koramangala
Sri Sairam Vegetarian - MG Road,Yes,No,4.0/5,2301,HSR Layout,Beverage Shop,Rolls,50,Beverage Shop,HSR Layout
Meghana Foods - Rajajinagar,Yes,Yes,NEW,0,Indiranagar,Sweet Shop,Beverages,250,Sweet Shop,Indiranagar
Hotel Suprabhatha - BTM,Yes,No,NEW,0,Malleshwaram,Casual Dining,Italian,600,Casual Dining,Malleshwaram
Shivaji Military Hotel - HSR Layout,No,No,3.5/5,3623,KR Puram,Bakery,Biryani,300,Bakery,KR Puram
Kanti Sweets - MG Road,No,No,2.9/5,3295,Whitefield,Food Court,Pizza,350,Food Court,Whitefield
Third Wave Coffee - Shivajinagar,Yes,No,4.0/5,4526,Rajajinagar,Mess,Gujarati,150,Mess,Rajajinagar
Natural Ice Cream - Banashankari,Yes,No,3.9/5,1379,Bellandur,Sweet Shop,Mughlai,50,Sweet Shop,Bellandur
Byg Brewski - JP Nagar,Yes,No,3.4/5,3498,Sarjapur Road,Bakery,Cafe Food,250,Bakery,Sarjapur Road
Vidyarthi Bhavan - BTM,No,Yes,4.5/5,1415,BTM,Sweet Shop,Kerala,100,Sweet Shop,BTM
Punjabi Dhaba - JP Nagar,Yes,Yes,4.2/5,2269,Hebbal,Bakery,Cafe Food,300,Bakery,Hebbal
The Only Place - Shivajinagar,No,No,4.0/5,2807,Hebbal,Pub,Biryani,450,Pub,Hebbal
Sri Sairam Vegetarian - Shivajinagar,Yes,No,3.6/5,1799,MG Road,Casual Dining,Chinese,550,Casual Dining,MG Road
Third Wave Coffee - Basavanagudi,Yes,No,3.8/5,3608,JP Nagar,Casual Dining,North Indian,350,Casual Dining,JP Nagar
Shivaji Military Hotel - Shivajinagar,Yes,No,4.2/5,2813,Whitefield,Bar,Gujarati,350,Bar,Whitefield
Chutney's - KR Puram,No,No,3.8/5,2002,Banashankari,Lounge,Pizza,500,Lounge,Banashankari
Rajadhani - Bellandur,Yes,No,4.7/5,2119,Sarjapur Road,Delivery,Pizza,100,Delivery,Sarjapur Road
